# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "reference/annot.gtf" "-o" "counts/counts.txt" "-p" "-B" "-C" "-s" "2" "-T" "4" "alignment/WT_1A.sorted.bam" "alignment/WT_1B.sorted.bam" "alignment/WT_1C.sorted.bam" "alignment/WT_2A.sorted.bam" "alignment/WT_2B.sorted.bam" "alignment/WT_2C.sorted.bam" "alignment/WT_3A.sorted.bam" "alignment/WT_3B.sorted.bam" "alignment/WT_3C.sorted.bam" "alignment/WT_4A.sorted.bam" "alignment/WT_4B.sorted.bam" "alignment/WT_4C.sorted.bam" "alignment/rrp6_1A.sorted.bam" "alignment/rrp6_1B.sorted.bam" "alignment/rrp6_1C.sorted.bam" "alignment/rrp6_2A.sorted.bam" "alignment/rrp6_2B.sorted.bam" "alignment/rrp6_2C.sorted.bam" "alignment/rrp6_3A.sorted.bam" "alignment/rrp6_3B.sorted.bam" "alignment/rrp6_3C.sorted.bam" "alignment/rrp6_4A.sorted.bam" "alignment/rrp6_4B.sorted.bam" "alignment/rrp6_4C.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignment/WT_1A.sorted.bam	alignment/WT_1B.sorted.bam	alignment/WT_1C.sorted.bam	alignment/WT_2A.sorted.bam	alignment/WT_2B.sorted.bam	alignment/WT_2C.sorted.bam	alignment/WT_3A.sorted.bam	alignment/WT_3B.sorted.bam	alignment/WT_3C.sorted.bam	alignment/WT_4A.sorted.bam	alignment/WT_4B.sorted.bam	alignment/WT_4C.sorted.bam	alignment/rrp6_1A.sorted.bam	alignment/rrp6_1B.sorted.bam	alignment/rrp6_1C.sorted.bam	alignment/rrp6_2A.sorted.bam	alignment/rrp6_2B.sorted.bam	alignment/rrp6_2C.sorted.bam	alignment/rrp6_3A.sorted.bam	alignment/rrp6_3B.sorted.bam	alignment/rrp6_3C.sorted.bam	alignment/rrp6_4A.sorted.bam	alignment/rrp6_4B.sorted.bam	alignment/rrp6_4C.sorted.bam
YDR150W	IV	755628	763874	+	8247	2923	3063	3077	3884	4144	4384	2973	3041	3050	3618	3855	3797	2396	2610	2702	2846	3091	3084	2059	2244	2142	2979	3136	3327
YDR243C	IV	948518	950284	-	1767	580	652	641	561	545	619	522	584	589	650	745	712	467	580	569	485	524	515	407	520	441	580	568	630
YDL182W	IV	133437	134723	+	1287	2532	2961	2920	2633	2734	2789	2021	2412	2228	2489	2780	2693	2480	2746	2978	2927	3098	3060	2078	2246	2248	2545	2869	2712
YDR362C	IV	1196679	1198697	-	2019	440	545	574	466	544	530	421	474	524	617	624	697	525	529	554	463	462	571	401	411	517	525	521	519
YDR232W	IV	927452	929098	+	1647	6748	7301	7541	5440	5664	5825	4289	4668	4627	5335	5488	5630	5796	6490	6409	5346	5694	5610	5179	5686	5566	6170	6440	6777
YDR158W	IV	770357	771454	+	1098	3219	3350	3349	2896	3119	3182	6894	6911	7189	5326	5530	5824	4646	4846	4926	1949	2252	2302	3255	3304	3393	3828	3920	3955
YDR439W	IV	1339676	1340719	+	1044	118	123	123	162	169	193	116	115	132	106	89	106	107	111	131	112	100	125	95	99	102	122	113	113
YDL206W	IV	90176	92464	+	2289	556	617	622	688	798	825	822	850	936	867	1083	1134	523	593	628	755	789	996	928	1125	1081	900	1014	967
YDR125C	IV	701397	702758	-	1362	233	215	224	240	296	278	230	272	278	258	316	326	170	210	219	228	239	233	200	259	234	233	302	243
YDR338C	IV	1147379	1149466	-	2088	772	778	784	701	741	769	782	818	805	1007	841	971	566	557	646	674	708	740	669	671	726	800	864	773
YDR526C	IV	1491075	1491545	-	471	4	5	4	5	12	9	2	1	2	4	2	5	28	29	24	22	20	27	20	42	28	30	25	32
YDR533C	IV	1501447	1502160	-	714	137	143	143	185	230	210	218	221	195	273	269	261	78	129	110	155	168	148	196	230	235	203	223	263
YDR272W	IV	1009010	1009834	+	825	401	421	429	599	621	656	568	567	621	622	736	647	368	436	342	590	641	658	573	555	529	587	642	662
YDR197W	IV	851228	852397	+	1170	578	688	709	555	594	572	678	708	657	821	781	858	597	558	593	548	539	672	675	643	726	638	781	749
YDR512C	IV	1470500	1471063	-	564	175	205	162	201	205	213	216	250	249	237	233	285	161	180	139	185	201	218	189	199	208	226	211	198
YDR489W	IV	1431012	1431896	+	885	337	322	336	322	332	273	246	257	246	312	341	355	312	324	359	257	370	340	319	317	312	399	375	394
YDR299W	IV	1059627	1061231	+	1605	1416	1402	1502	900	1047	896	912	803	887	1018	1009	1066	1345	1492	1549	754	765	894	795	785	836	826	917	832
YDL015C	IV	426002	426934	-	933	5224	5593	5959	4700	5240	5245	5223	5464	5710	5460	5765	5947	4410	4675	4836	4667	4860	5024	4783	5265	5527	5129	5405	5706
YDR304C	IV	1071880	1072557	-	678	2797	3124	3187	3088	3191	3332	3521	3697	3936	3582	3733	3846	2317	2486	2818	3008	3315	3424	3354	3531	3718	3722	3810	3930
YDR271C	IV	1008395	1008766	-	372	2	0	3	7	9	3	4	0	4	0	6	4	1	3	8	3	6	7	10	12	7	7	23	15
YDL181W	IV	135179	135436	+	258	43	34	38	139	122	150	106	159	170	124	141	175	70	53	62	262	277	269	333	360	365	323	320	314
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	708	779	832	677	722	675	755	808	797	854	880	981	478	488	582	466	555	596	567	714	651	682	635	658
YDR085C	IV	614288	616150	-	1863	715	842	833	1165	1352	1377	1869	1979	1949	2284	2449	2645	490	506	531	1178	1293	1295	2114	2019	2211	2043	2296	2247
YDL097C	IV	285391	286695	-	1305	3507	3782	3906	4166	4514	4658	5016	5192	5008	6038	6074	6362	3119	3277	3553	3786	4119	4019	3971	4244	4331	4555	4892	5088
YDL139C	IV	211375	212046	-	672	153	160	156	142	177	126	146	210	182	205	211	196	146	106	140	144	168	187	179	138	175	164	143	189
YDR200C	IV	854279	856093	-	1815	649	733	735	886	902	1023	748	959	911	825	942	942	630	666	610	763	855	813	669	752	732	849	970	936
YDR191W	IV	842337	843449	+	1113	243	245	291	263	271	326	288	300	343	341	390	379	251	264	286	243	254	231	293	311	309	268	298	255
YDR451C	IV	1361120	1362181	-	1062	667	808	758	600	646	750	695	780	786	764	838	795	565	659	625	458	567	556	443	462	499	459	583	584
YDR469W	IV	1399015	1399542	+	528	776	748	845	661	756	802	818	916	929	923	930	1026	608	639	645	624	680	757	692	711	694	683	762	765
YDR470C	IV	1399706	1401214	-	1509	546	574	650	658	763	742	737	749	795	943	1004	998	465	459	474	580	609	650	559	611	654	676	665	771
YDR105C	IV	665349	666770	-	1422	882	943	958	1014	1121	1125	1165	1201	1172	1296	1406	1509	691	769	821	1001	1057	1169	1059	1177	1153	1217	1306	1309
YDR483W	IV	1421157	1422485	+	1329	6840	7187	7429	6705	7028	7294	6926	7457	7674	7373	7711	8042	5377	5826	6157	5887	6555	6629	6456	6878	6945	6540	7359	7209
YDL123W	IV	241418	241840	+	423	130	147	153	174	193	164	198	221	221	148	208	158	102	115	159	149	204	208	132	181	203	136	137	163
YDL199C	IV	101290	103353	-	2064	213	187	203	315	328	361	293	326	273	433	414	400	153	152	154	302	365	391	274	321	304	364	422	426
YDR505C	IV	1456695	1459220	-	2526	1886	2046	2078	2514	2672	2912	2710	2830	2950	3037	3397	3490	1511	1777	1978	2830	3027	3281	2859	2951	3137	3073	3270	3399
YDL045W-A	IV	372248	372535	+	288	465	542	596	563	510	577	516	576	619	553	605	659	391	455	414	413	452	440	448	553	469	474	495	526
YDL045C	IV	372688	373608	-	921	719	754	761	852	836	884	985	1065	1045	1169	1324	1262	511	598	615	831	800	755	873	961	1006	883	1008	1009
YDR361C	IV	1195412	1196263	-	852	1872	2086	1980	1279	1433	1502	1464	1551	1552	1547	1693	1758	1926	2078	2210	1419	1581	1691	1544	1696	1693	1575	1732	1859
YDR406W-A	IV	1283799	1284044	+	246	5	10	10	20	16	18	22	18	14	45	27	21	6	7	7	3	12	5	2	7	4	9	4	9
YDR199W	IV	854175	854540	+	366	4	0	2	2	0	0	0	2	0	2	0	0	32	41	30	18	34	31	53	38	44	49	59	41
YDR266C	IV	1000104	1002023	-	1920	1502	1659	1622	1503	1610	1684	1256	1350	1359	1441	1491	1472	1218	1578	1515	1396	1427	1502	1147	1209	1246	1386	1667	1522
YDL242W	IV	18959	19312	+	354	2	2	6	8	3	5	7	7	8	11	12	10	4	0	5	0	0	0	3	2	4	2	3	0
YDR002W	IV	453045	453650	+	606	9549	10716	10526	8912	9655	10180	9958	10826	11149	10941	12115	12063	7112	7853	8326	7949	8686	9012	9040	9416	9714	9281	9992	10471
YDR214W	IV	892875	893927	+	1053	1022	1106	1151	1770	1877	2098	2058	2208	2143	1809	2126	2027	1434	1558	1676	2476	2885	2794	1898	2093	2246	2438	2613	2770
YDR130C	IV	715747	716622	-	876	367	421	413	385	441	429	447	463	442	552	525	495	321	291	328	328	362	385	304	329	304	387	424	442
YDL176W	IV	142097	144223	+	2127	464	587	565	576	555	597	401	490	538	598	631	623	425	389	461	422	487	394	409	411	481	437	442	496
YDR358W	IV	1190059	1191732	+	1674	787	845	897	1366	1454	1465	1746	1859	1797	2082	2262	2283	591	698	704	1529	1725	1646	1759	1834	1779	1884	1955	2033
YDR544C	IV	1525095	1525523	-	429	0	0	0	3	1	2	2	0	0	1	0	0	1	0	2	2	1	6	0	0	0	3	0	4
YDR460W	IV	1383811	1384776	+	966	395	471	526	434	423	491	447	498	578	630	683	644	325	399	380	384	417	488	383	414	381	468	472	472
snR84	IV	1492477	1493026	-	550	28141	30071	30726	17234	18796	19427	24377	26534	26624	23566	25501	25868	11956	13001	13502	9850	10483	10873	13073	13598	14291	12112	12566	12776
YDR034W-B	IV	521314	521469	+	156	11	12	20	21	29	25	21	34	28	25	12	8	22	8	11	27	51	31	41	33	32	49	33	24
YDL028C	IV	400997	403291	-	2295	1392	1481	1504	1286	1339	1448	1257	1366	1323	1540	1546	1706	1078	1167	1130	1095	1225	1183	1035	1129	1088	1298	1360	1395
YDR061W	IV	574164	575783	+	1620	1226	1230	1337	1252	1461	1444	1451	1628	1577	1768	1828	1967	1030	1087	1022	1126	1194	1225	1170	1249	1280	1275	1403	1471
YDR060W	IV	570649	573726	+	3078	8891	9468	9974	6386	6880	7038	5151	5850	5677	6951	7224	7460	8753	9645	9715	5917	6401	6366	5465	5771	5864	6567	7416	7367
YDR169C-A	IV	794574	794723	-	150	3	10	10	6	9	6	16	2	6	8	13	12	4	2	2	1	4	8	0	2	6	10	2	0
YDR363W	IV	1199183	1200553	+	1371	274	336	344	317	380	448	286	290	341	218	295	240	214	227	224	194	218	235	189	190	184	235	239	304
YDR422C	IV	1315326	1317773	-	2448	1777	2042	1947	1472	1590	1753	1427	1615	1540	1925	1843	2031	1514	1813	1720	1494	1648	1536	1409	1439	1464	1577	1785	1683
YDR119W	IV	688227	690533	+	2307	3102	3363	3522	3179	3350	3442	3226	3315	3186	3466	3727	3780	2784	3087	3203	2907	3157	3222	2595	2822	2771	3398	3663	3718
tR(ACG)D	IV	619969	620041	-	73	10	5	6	5	4	2	2	3	8	3	2	0	26	14	7	9	7	9	16	11	13	5	2	3
YDR097C	IV	640109	643837	-	3729	1853	2037	2032	2182	2169	2372	1815	2087	2045	2378	2532	2569	1636	1781	1860	1833	2066	1960	1628	1573	1773	2149	2198	2159
YDR042C	IV	540601	541203	-	603	92	92	64	62	86	92	82	103	97	81	83	85	1034	995	1120	785	883	938	1147	1219	1254	955	1101	1071
YDL160C	IV	170410	171930	-	1521	4844	5156	5381	5311	5804	5875	4597	4689	4977	6137	6624	6429	4553	4734	4958	5573	6011	6193	4584	5030	5178	6356	7060	7072
YDR425W	IV	1320064	1321941	+	1878	538	643	612	782	885	906	663	767	782	871	985	953	470	539	451	827	799	882	688	757	657	863	929	865
snR13	IV	1402919	1403042	+	124	1311	1449	1437	831	752	881	1218	1291	1322	781	750	718	4843	5282	5413	4428	4762	4780	6864	7171	7430	5334	5683	5904
YDR228C	IV	921926	923806	-	1881	861	1105	1087	957	1031	927	883	1033	911	1031	1076	1019	1095	1354	1417	1478	1510	1502	1329	1447	1396	1517	1547	1655
YDR319C	IV	1105003	1105827	-	825	225	266	275	250	296	350	377	412	400	462	474	463	229	218	231	308	300	290	245	291	286	313	360	350
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	18815	20152	20615	15726	17114	17171	15520	16149	16269	15699	16467	16432	15247	16511	17005	14964	16131	16329	14360	15138	14988	16076	17160	17198
YDR089W	IV	622112	624721	+	2610	1157	1260	1230	1737	1852	1866	1525	1462	1581	2021	2228	2067	1131	1295	1189	2377	2345	2478	1859	1924	1917	1808	1908	2046
tD(GUC)D	IV	568964	569035	+	72	7	2	3	3	5	5	5	2	4	3	2	5	5	5	9	4	11	4	4	6	8	4	2	2
YDR275W	IV	1012252	1012959	+	708	549	562	550	542	681	657	642	656	642	589	567	613	460	585	599	540	614	643	517	530	559	547	493	535
YDR043C	IV	542674	543369	-	696	432	485	471	620	708	662	595	559	530	452	502	480	405	467	450	709	764	841	641	721	677	604	628	639
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	5412	6161	5913	7497	7885	8052	7105	7836	8319	8344	9105	9317	4944	5218	5321	7399	8122	7981	6758	7451	7347	8579	9149	9145
YDR136C	IV	727711	728283	-	573	9	8	2	16	11	2	8	10	11	11	12	0	73	58	69	51	56	58	48	67	42	62	70	63
YDL066W	IV	334835	336121	+	1287	4907	5422	5614	5385	5719	5979	4991	5486	5638	6130	6567	6642	4439	4683	4755	5488	6021	6129	5055	5383	5403	5606	5981	6181
YDR302W	IV	1067731	1068390	+	660	745	704	788	603	593	688	792	720	813	825	837	903	490	533	596	534	541	651	523	505	547	546	558	575
YDR239C	IV	941057	943420	-	2364	828	862	1003	665	831	802	755	865	815	798	1004	988	774	823	830	735	708	757	585	775	757	793	797	880
YDR539W	IV	1512094	1513605	+	1512	907	1053	1113	1142	1125	1218	1012	1148	1164	1477	1532	1463	642	669	705	757	859	845	693	687	737	894	978	1008
tK(CUU)D1	IV	1201750	1201822	+	73	1	1	0	0	3	2	0	3	0	0	0	2	2	3	3	0	4	3	0	3	1	0	3	1
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	2142	2344	2472	2843	3071	3092	3159	3244	3365	2880	2991	3113	2046	2150	2269	3088	3302	3427	3262	3624	3523	3396	3501	3538
YDR493W	IV	1436217	1436588	+	372	305	346	316	247	326	328	320	324	394	368	421	458	218	244	233	227	208	268	262	222	306	301	283	284
YDR101C	IV	655686	657467	-	1782	5819	6391	6285	4236	4391	4556	3452	3809	3867	4410	4964	4792	5453	5611	5489	3789	4077	4281	3877	3998	4075	4410	4656	5126
YDR182W-A	IV	829151	829354	+	204	61	60	57	42	83	58	44	54	59	35	52	50	47	58	53	50	38	56	53	71	53	65	62	59
YDR212W	IV	887232	888911	+	1680	6922	7534	8009	6989	7420	7473	6681	7210	7332	8391	9057	8706	6481	6854	7187	7068	7733	7802	7181	7673	7895	8185	9009	8843
YDR476C	IV	1410453	1411127	-	675	577	613	590	797	722	819	755	746	799	1012	1120	1102	401	425	526	527	602	614	500	493	595	538	557	617
YDL131W	IV	227393	228715	+	1323	1930	2007	2093	2084	2205	2512	1748	2067	1928	2349	2360	2509	1656	1804	1670	2064	2244	2220	1680	1860	1836	2285	2234	2311
YDR458C	IV	1380055	1382046	-	1992	965	1038	1045	1078	1225	1219	1225	1251	1248	1305	1404	1488	939	915	987	1146	1212	1232	1099	1143	1112	1336	1426	1367
YDR081C	IV	607304	610081	-	2778	1597	1735	1761	1248	1342	1466	1171	1237	1456	1512	1672	1692	1349	1466	1522	1269	1308	1385	1024	1240	1250	1324	1494	1427
YDL071C	IV	330666	331040	-	375	13	12	10	3	11	11	2	16	14	16	13	8	36	45	42	22	30	28	30	50	30	32	45	55
YDR113C	IV	680496	681617	-	1122	330	352	355	369	442	474	296	320	337	438	404	434	155	191	195	233	275	247	173	162	156	279	306	305
YDR168W	IV	790328	791848	+	1521	2677	2858	2891	3406	3560	3628	3851	4040	4180	4415	4574	4777	2334	2317	2399	3169	3487	3571	3223	3493	3560	3750	3720	3933
YDR520C	IV	1481085	1483403	-	2319	365	420	458	353	411	438	415	443	450	454	452	483	325	407	355	364	382	390	360	345	400	442	367	372
YDR307W	IV	1075865	1077853	+	1989	969	938	1038	1155	1146	1152	1135	1290	1389	1352	1397	1504	655	736	718	899	865	945	908	950	1056	1055	1162	1233
YDR265W	IV	998864	999877	+	1014	545	511	585	621	689	610	616	721	760	871	940	903	378	371	412	582	594	591	524	562	597	613	642	559
YDL076C	IV	320668	321552	-	885	624	666	681	764	809	799	849	804	877	915	1010	1044	541	596	522	739	879	834	772	817	794	854	912	882
YDL006W	IV	439909	440754	+	846	609	656	663	598	645	612	639	688	661	778	839	846	605	649	638	702	750	744	744	844	757	786	931	902
YDL086W	IV	301413	302234	+	822	941	903	942	992	1084	1119	1037	1099	1150	991	1096	1153	769	738	822	933	841	970	869	968	986	959	1074	1005
YDR238C	IV	937895	940816	-	2922	7701	8230	8223	9211	9997	9924	7680	8093	7767	9841	10358	10348	5790	6501	6677	7527	8365	8290	6248	6655	6651	8463	9027	9236
YDR077W	IV	600793	601809	+	1017	12661	13924	14320	21736	23699	24323	20523	22273	23091	26392	28715	29131	9573	10265	10895	18732	20418	20405	16429	18105	18159	23123	24794	25614
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	153	136	162	125	129	118	188	184	219	224	192	247	152	166	144	203	177	163	158	159	159	191	152	187
YDL023C	IV	411761	412081	-	321	3	2	0	4	4	1	0	0	0	0	4	0	0	0	0	0	0	2	0	1	1	8	2	0
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	20421	21783	21663	20300	21869	21990	19486	20355	20897	18737	19819	20345	15767	17095	17153	18071	19713	19741	18129	19147	19637	19190	20362	20621
YDR036C	IV	523211	524713	-	1503	1107	1224	1145	1095	1232	1204	978	1216	1230	1381	1529	1412	828	837	843	847	954	796	801	796	888	934	924	977
YDR057W	IV	565927	567555	+	1629	642	686	659	680	690	720	804	887	932	1034	1076	1119	652	720	689	662	744	732	802	852	800	824	993	896
YDR513W	IV	1471017	1471448	+	432	1297	1289	1375	1763	1866	2148	1920	2073	2323	2161	2245	2225	1053	1118	1134	1864	1942	1930	2044	2249	2301	2039	2151	2330
YDR487C	IV	1428354	1428980	-	627	2947	3091	3201	2898	2934	3009	3014	3386	3355	4086	4309	4363	2200	2610	2661	2387	2775	2557	2578	2813	2953	2916	3076	3245
YDR066C	IV	581908	582498	-	591	132	137	162	161	147	137	129	152	159	225	204	218	96	83	99	148	147	151	131	119	172	156	166	162
YDR352W	IV	1181801	1182754	+	954	790	807	922	689	713	706	655	769	739	837	941	896	740	786	810	617	723	686	732	814	748	874	862	832
YDR278C	IV	1017001	1017318	-	318	0	1	0	0	1	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	3	0	0	4
YDR079C-A	IV	603593	603811	-	219	151	130	162	114	130	107	132	181	165	162	157	190	150	148	164	126	156	153	153	181	206	161	186	162
YDR204W	IV	858137	859144	+	1008	479	560	559	642	653	752	678	853	785	979	1135	1178	376	388	409	611	723	694	612	734	713	731	764	798
YDL247W-A	IV	3762	3836	+	75	7	7	13	9	14	3	5	13	8	6	8	9	10	14	13	10	11	14	25	11	21	8	18	10
YDL024C	IV	408451	409857	-	1407	68	47	44	70	76	86	77	64	78	114	113	110	22	27	37	56	48	52	44	56	69	56	65	76
tA(AGC)D	IV	410379	410451	+	73	0	0	2	0	1	0	0	4	0	0	1	1	1	3	2	0	1	3	5	1	3	0	2	3
YDR109C	IV	673520	675667	-	2148	269	262	245	388	401	416	287	279	305	341	366	384	261	259	272	258	290	254	221	227	253	242	281	258
YDR466W	IV	1395121	1397817	+	2697	1344	1353	1465	1272	1322	1226	1284	1292	1389	1493	1642	1573	1179	1409	1338	1197	1306	1308	1148	1296	1232	1325	1522	1485
YDR427W	IV	1322205	1323386	+	1182	4199	4662	4762	4779	5174	5144	5169	5687	5735	6049	6493	6744	3855	4247	4183	5021	5350	5263	5395	5597	5706	5423	5815	5808
YDL044C	IV	373967	375289	-	1323	402	386	417	334	398	340	401	451	428	520	489	536	272	350	329	325	330	356	297	338	358	385	435	420
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	121	128	135	356	425	398	460	533	596	621	678	679	290	279	323	738	835	952	1182	1202	1263	1301	1480	1494
YDR193W	IV	844554	844952	+	399	4	0	4	2	2	0	4	0	0	0	0	2	0	0	6	0	0	0	1	1	2	2	1	1
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	329	376	463	348	348	371	406	448	411	498	567	581	364	365	403	355	414	477	431	445	478	500	494	519
YDR377W	IV	1228611	1228916	+	306	1296	1266	1427	1200	1279	1214	1279	1315	1519	1291	1448	1509	1159	1261	1245	1353	1354	1310	1496	1578	1634	1395	1464	1528
YDR219C	IV	905455	906852	-	1398	1005	1148	1049	1018	953	1020	1135	1201	1119	1328	1298	1502	899	821	843	902	971	1093	1004	1184	1110	1131	1239	1230
YDR416W	IV	1298432	1301011	+	2580	1106	1248	1333	818	951	943	1064	1120	1155	1378	1484	1385	1028	1132	1142	968	1037	1129	1047	987	1035	1192	1254	1275
YDR365C	IV	1204497	1206383	-	1887	5451	6061	6124	4196	4485	4667	4354	4728	4765	4932	5147	5328	4892	5422	5517	4064	4660	4522	4517	5004	4960	4637	4825	5125
YDL233W	IV	36797	38173	+	1377	382	392	381	537	517	545	448	431	442	517	574	556	266	345	299	489	455	453	330	347	405	459	475	452
YDR287W	IV	1035995	1036873	+	879	376	355	411	396	417	448	396	465	566	614	651	584	256	242	268	421	384	378	341	414	359	446	441	456
YDR448W	IV	1356065	1357369	+	1305	668	720	734	641	673	623	709	813	812	831	910	980	638	707	707	751	709	803	690	711	778	807	852	866
YDR180W	IV	821295	825776	+	4482	1524	1617	1665	1342	1398	1461	1095	1119	1262	1227	1380	1430	1428	1527	1565	1161	1100	1295	930	992	1006	1207	1244	1231
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	6	11	11	3	2	20	7	6	7	6	12	7	10	15	15	18	17	14	17	16	34	10	16	12
tT(AGU)D	IV	434264	434336	-	73	1	5	1	1	2	6	2	0	5	1	1	0	1	5	5	4	5	5	2	7	5	1	0	0
YDR294C	IV	1050459	1052228	-	1770	2345	2572	2498	2465	2689	2648	2554	2559	2702	2679	2984	2988	2235	2551	2594	3093	3149	3436	2742	3143	3232	3273	3490	3583
YDR198C	IV	852533	853972	-	1440	714	743	808	577	547	577	593	639	625	743	843	805	734	834	819	609	647	637	612	643	700	686	757	732
YDL163W	IV	166956	167258	+	303	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	2	2
YDL119C	IV	246689	247612	-	924	108	109	146	149	156	184	234	237	187	224	196	206	95	137	77	129	141	135	131	155	158	141	149	160
YDR501W	IV	1451353	1452918	+	1566	176	186	168	195	218	232	154	175	189	251	271	224	146	184	123	142	171	155	145	126	157	170	162	148
YDL214C	IV	74446	76545	-	2100	58	47	70	42	52	56	51	79	45	55	42	64	42	55	27	53	58	52	36	47	30	37	47	55
YDR264C	IV	996029	998323	-	2295	5109	5535	5471	4685	5154	5291	4976	5090	5460	6873	7621	7584	3780	3913	4261	3878	4347	4598	3435	3666	3767	3956	4335	4285
YDR343C	IV	1159608	1161320	-	1713	186	258	139	965	1017	1091	1829	1802	1888	2366	2466	2524	224	213	184	1505	1587	1689	3133	3386	2739	3282	3167	3349
YDR373W	IV	1222759	1223331	+	573	668	680	792	730	766	829	793	785	868	926	985	1028	510	516	602	617	738	792	665	678	715	709	859	846
